2, [15/Nov/2022:01:07:28 +0000],001234567890004,TRAFFIC,START, 0, [15/Nov/2022:01:07:28 +0000],12.130.35.192,58.163.119.91,236.129.179.154,167.150.29.218,rule_name8,kal.el,brandon,ldap,vsys2,inside,inside,ivlan_90,ivlan_822,forward-sumo,4, 39177423,2,19916,32469,43842,6266,16777216,tcp,deny,3152,4916,3405,6,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,web_based_email,6,103019475,34359738368,GT,MO,3,1312,4972,resources-unavailable,48,21, 30, 45,firewall-2,jabrowski,allow,16626035759,17372040972,18160990668,10435164691,33516194,15/Nov/2022:01:07:28,L2TP,12531675,4730,370,3524,10014953623,0,1382013,batman,bytes_written,sdwan_cluster3,hub,hub-spoke,sdwan_site1,anime 
4, [15/Nov/2022:01:07:28 +0000],001234567890005,TRAFFIC,START, 4, [15/Nov/2022:01:07:28 +0000],48.14.117.231,51.212.235.152,191.130.165.234,214.142.237.188,rule_name2,danny.targaryen,po,smtp,vsys6,inside,critical_assets,ivlan_91,ivlan_822,forward-sumo,5, 34518313,2,33158,13963,2100,57624,268435456,ospfigp,drop,548,986,3091,20,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,web_based_email,7,7314550551,0,CX,TF,6,2203,1378,policy-deny,42,27, 29, 39,firewall-1,toastyBread,drop,12588554224,13351171236,15587515683,16635397890,32128024,15/Nov/2022:01:07:28,WireGuard,22390179,4489,1716,4745,12627914697,0,1506821,interstellar,physical_interface,sdwan_cluster3,branch,hub-spoke,sdwan_site2,anime 
8, [15/Nov/2022:01:07:28 +0000],001234567890004,TRAFFIC,DROP, 5, [15/Nov/2022:01:07:28 +0000],235.202.52.186,19.185.87.117,146.10.171.127,180.28.0.15,rule_name4,dawn,vagrant,smtp,vsys1,outside,dmz,ivlan_711,ivlan_711,logreset-both,1, 31658799,1,10769,49767,44044,44148,16777216,esp,reset_server,3688,4830,1285,5,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,news_and_media,0,9347426483,0,AR,VI,7,3326,1924,n_a,13,14, 33, 16,firewall-2,dunham,reset-both,11685429046,12334767256,14546604864,14687814747,30041395,15/Nov/2022:01:07:28,VXLAN,19583896,2799,4993,1641,16484774423,Parent session ID,1980693,batman,physical_interface,sdwan_cluster4,hub,hub-spoke,sdwan_site3,dc 
9, [15/Nov/2022:01:07:28 +0000],001234567890002,TRAFFIC,END, 7, [15/Nov/2022:01:07:28 +0000],185.161.89.32,70.91.116.94,91.212.147.9,247.62.247.12,rule_name6,administrator,napoleon.dynamite,smtp,vsys5,outside,critical_assets,ivlan_711,ivlan_822,forward-sumo,7, 34683356,1,3173,27615,34907,59407,33554432,icmp,reset_client,2397,1249,4858,15,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,shopping,3,7538378111,34359738368,ML,DE,2,2775,1333,threat,14,28, 30, 26,firewall-site-bravo,jabrowski,allow,10384622789,19335840652,10712889376,17315267880,37219722,15/Nov/2022:01:07:28,GRE,14230432,1571,3151,4297,14100048284,0,1480545,batman,link_health,sdwan_cluster2,hub,mesh,sdwan_site1,comedy 
2, [15/Nov/2022:01:07:28 +0000],001234567890004,TRAFFIC,END, 6, [15/Nov/2022:01:07:28 +0000],9.128.133.25,97.201.132.118,134.5.203.162,183.139.215.223,rule_name1,brandon,kal.el,ldap,vsys7,dmz,inside,ivlan_822,ivlan_822,forward-sumo,2, 30355176,2,24475,25999,40336,38476,1048576,tcp,reset_server,3968,520,664,13,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,any,2,1027624082,34359738368,VG,GH,2,1521,2661,decrypt-unsupport-param,34,26, 36, 40,firewall-site-bravo,peanut,drop,16541529705,17383883214,14592193768,13309182070,30107155,15/Nov/2022:01:07:28,OpenVPN,10452474,3953,1239,3032,18489479242,Parent session ID,1712800,the hunt for red october,link_health,sdwan_cluster3,hub,hub-spoke,sdwan_site2,comedy 
0, [15/Nov/2022:01:07:28 +0000],001234567890003,TRAFFIC,DENY, 1, [15/Nov/2022:01:07:28 +0000],123.214.108.122,42.164.165.23,20.144.149.51,104.181.36.147,rule_name2,dawn,dawn,netbios_ns,vsys2,outside,critical_assets,ivlan_711,ivlan_91,syslog,1, 35309091,2,53426,38149,2192,49654,268435456,etherip,drop_ICMP,1052,1780,3491,8,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,content_delivery_networks,8,3112185572,34359738368,GH,AQ,5,378,3716,decoder,46,26, 31, 46,firewall-site-alpha,dunham,deny,14227216215,17050614762,19182897599,14798955926,34418632,15/Nov/2022:01:07:28,WireGuard,28236840,3931,3464,4005,10236117861,0,1485634,the hunt for red october,link_tag,sdwan_cluster1,branch,mesh,sdwan_site4,comedy 
10, [15/Nov/2022:01:07:28 +0000],001234567890003,TRAFFIC,END, 7, [15/Nov/2022:01:07:28 +0000],25.167.103.153,129.8.246.225,242.230.50.184,223.101.22.10,rule_name3,administrator,will.smith,ssl,vsys6,critical_assets,critical_assets,ivlan_711,ivlan_91,forward-sumo,1, 34819766,1,6659,44824,35705,35800,2097152,etherip,allow,1269,2145,2127,14,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,content_delivery_networks,8,8004286855,1,HM,BR,5,146,4147,tcp-reuse,37,33, 33, 25,firewall-site-bravo,dunham,allow,16977600498,17188916330,10224299545,14290194317,39875077,15/Nov/2022:01:07:28,L2TP,15231723,506,2724,9,17095249196,Parent session ID,1711375,interstellar,link_health,sdwan_cluster2,branch,hub-spoke,sdwan_site2,comedy 
10, [15/Nov/2022:01:07:28 +0000],001234567890003,TRAFFIC,DROP, 0, [15/Nov/2022:01:07:28 +0000],96.209.164.180,218.84.248.249,206.100.184.81,2.98.34.48,rule_name1,napoleon.dynamite,will.smith,dns,vsys2,dmz,dmz,ivlan_822,ivlan_822,syslog,2, 37289083,1,51995,52530,16171,23440,134217728,tcp,alert,4995,4770,1498,20,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,content_delivery_networks,4,7091188871,0,IN,KM,8,2399,4935,decrypt-cert-validation,17,35, 40, 35,firewall-2,dunham,reset-server,13500514966,14986316497,13652224081,10876209903,30093224,15/Nov/2022:01:07:28,L2TP,26554293,952,1374,3247,12128114164,Parent session ID,1080519,superman,link_type,sdwan_cluster4,branch,hub-spoke,sdwan_site4,comedy 
6, [15/Nov/2022:01:07:28 +0000],001234567890005,TRAFFIC,END, 7, [15/Nov/2022:01:07:28 +0000],192.250.126.168,99.41.165.106,24.168.162.184,166.131.189.70,rule_name3,danny.targaryen,danny.targaryen,web_browsing,vsys7,critical_assets,dmz,ivlan_91,ivlan_822,forward-sumo,6, 32596955,1,34624,63217,61667,1231,2147483648,etherip,allow,1275,621,3915,4,15/Nov/2022:01:07:28,15/Nov/2022:01:07:28,any,0,6030393080,1,WS,GP,4,738,4516,threat,36,35, 20, 48,firewall-2,jabrowski,drop,16351170158,12719441309,11939519543,16769594886,38223101,15/Nov/2022:01:07:28,SSTP,19397618,2746,1172,4419,18972949407,0,1247878,batman,bytes_written,sdwan_cluster2,branch,mesh,sdwan_site1,marvel 
4, [15/Nov/2022:01:07:29 +0000],001234567890005,TRAFFIC,END, 0, [15/Nov/2022:01:07:29 +0000],138.45.246.91,154.28.74.133,80.94.108.220,239.111.233.140,rule_name7,danny.targaryen,bsmith,ssl,vsys4,outside,dmz,ivlan_711,ivlan_711,forward-sumo,4, 33497818,1,46265,17829,8209,6212,1024,icmp,drop,3445,1319,2822,19,15/Nov/2022:01:07:29,15/Nov/2022:01:07:29,content_delivery_networks,7,1636438390,34359738368,GM,TZ,8,701,1236,tcp-reuse,42,15, 27, 46,firewall-2,toastyBread,reset-server,13384248817,13313331932,15009254983,11216841382,30993249,15/Nov/2022:01:07:29,WireGuard,10709610,1954,2791,1539,15568482580,Parent session ID,1907064,interstellar,physical_interface,sdwan_cluster4,branch,hub-spoke,sdwan_site1,marvel 
